Bulbasaur,1,1,45,49,49,65,65,45,318,Grass,Poison,NU,Overgrow,,Chlorophyll,6.9,20,1 SpA,64,Green,5120,M (87.5%),Monster,Grass,45,1059860,,1,1,226,,,
Shedinja,292,317,1,90,45,30,30,40,236,Bug,Ghost,NU,Wonder Guard,null,null,1.2,20,2 HP,95,Brown,null,None,Mineral,null,45,600000,Lv. 20 t/ Empty Space,317,292,null,44,null,null
Abomasnow,460,478,90,92,75,92,85,60,494,Ice,Grass,UU,Snow Warning,null,Soundproof,135.5,100,1 Atk/1 SpA,214,White,null,Neutral,Monster,Grass,60,1250000,Lv. 40,478,460,null,null,143,null
Abra,63,69,25,20,15,105,55,90,310,Psychic,null,NU,Synchronize,Inner Focus,Magic Guard,19.5,40,1 SpA,75,Brown,5120,M (75%),Human-Like,null,200,1059860,null,69,63,89,39,20,null
Absol,359,388,65,130,60,75,60,75,465,Dark,null,NU,Pressure,Super Luck,Justified,47,60,2 Atk,174,White,6400,Neutral,Field,null,30,1059860,N,388,359,null,152,209,null
Accelgor,617,617,80,70,40,100,60,145,495,Bug,null,NU,Hydration,Sticky Hold,Unburden,25.3,60,2 Spe,173,Red,null,Neutral,Bug,null,75,1000000,Trade w/ Karrablast,617,617,null,null,null,123
Aerodactyl,142,172,80,105,65,60,75,130,515,Rock,Flying,UU,Rock Head,Pressure,Unnerve,59,80,2 Spe,202,Purple,8960,M (87.5%),Flying,null,45,1250000,N,172,142,224,null,null,null
Aggron,306,331,70,110,180,60,60,50,530,Steel,Rock,RU,Sturdy,Rock Head,Heavy Metal,360,120,3 Def,205,Gray,null,Neutral,Monster,null,45,1250000,Lv. 42,331,306,null,72,null,null
Aipom,190,218,55,70,55,40,55,85,360,Normal,null,NU,Run Away,Pickup,Skill Link,11.5,40,1 Spe,94,Purple,5120,Neutral,Field,null,45,800000,null,218,190,122,null,63,null
Alakazam,65,71,55,50,45,135,85,120,490,Psychic,null,RU,Synchronize,Inner Focus,Magic Guard,48,60,3 SpA,186,Brown,null,M (75%),Human-Like,null,50,1059860,Trade,71,65,91,41,22,null
Alomomola,594,594,165,75,80,40,45,65,470,Water,null,NU,Healer,Hydration,Regenerator,31.6,60,2 HP,165,Pink,10240,Neutral,Water 1,Water 2,75,800000,N,594,594,null,null,null,100
Altaria,334,361,75,70,90,70,105,80,490,Dragon,Flying,NU,Natural Cure,null,Cloud Nine,20.6,40,2 SpD,188,Blue,null,Neutral,Flying,Dragon,45,600000,Lv. 35,361,334,null,122,172,null
Ambipom,424,219,75,100,66,60,66,115,482,Normal,null,UU,Technician,Pickup,Skill Link,20.3,40,2 Spe,186,Purple,null,Neutral,Field,null,45,800000,Level w/ Double Hit,219,424,null,null,64,null
Amoonguss,591,591,114,85,70,85,80,30,464,Grass,Poison,RU,Effect Spore,null,Regenerator,10.5,40,2 HP,162,White,null,Neutral,Grass,null,75,1000000,Lv. 39,591,591,null,null,null,97
Ampharos,181,209,90,75,75,115,90,55,500,Electric,null,NU,Static,null,Plus,61.5,80,3 SpA,194,Yellow,null,Neutral,Monster,Field,45,1059860,Lv. 30,209,181,55,null,null,null
Anorith,347,374,45,95,50,40,50,75,355,Rock,Bug,NU,Battle Armor,null,Swift Swim,12.5,40,1 Atk,99,Gray,7680,M (87.5%),Water 3,null,45,600000,null,374,347,null,135,null,null
Arbok,24,24,60,85,69,65,79,80,438,Poison,null,NU,Intimidate,Shed Skin,Unnerve,65,80,2 Atk,147,Purple,null,Neutral,Field,Dragon,90,1000000,Lv. 22,24,24,51,null,null,null
Arcanine,59,64,90,110,80,100,80,95,555,Fire,null,UU,Intimidate,Flash Fire,Justified,155,100,2 Atk,213,Brown,null,M (75%),Field,null,75,1250000,Fire Stone,64,59,128,null,null,null
Arceus,493,493,120,120,120,120,120,120,720,Normal,null,Uber,Multitype,null,null,320,120,3 HP,255,Gray,NONE,None,-,null,3,1250000,N,493,493,null,null,null,null
Archen,566,566,55,112,45,74,45,70,401,Rock,Flying,NU,Defeatist,null,null,9.5,20,1 Atk,71,Yellow,7680,M (87.5%),Flying,Water 3,45,1000000,null,566,566,null,null,null,72
Archeops,567,567,75,140,65,112,65,110,567,Rock,Flying,NU,Defeatist,null,null,32,60,2 Atk,177,Yellow,null,M (87.5%),Flying,Water 3,45,1000000,Lv. 37,567,567,null,null,null,73
Ariados,168,199,70,90,70,60,60,40,390,Bug,Poison,NU,Swarm,Insomnia,Sniper,33.5,60,2 Atk,134,Red,null,Neutral,Bug,null,90,800000,Lv. 22,199,168,33,null,null,null
Armaldo,348,375,75,125,100,70,80,45,495,Rock,Bug,NU,Battle Armor,null,Swift Swim,68.2,80,2 Atk,199,Gray,null,M (87.5%),Water 3,null,45,600000,Lv. 40,375,348,null,136,null,null
Aron,304,329,50,70,100,40,40,30,330,Steel,Rock,NU,Sturdy,Rock Head,Heavy Metal,60,80,1 Def,96,Gray,8960,Neutral,Monster,null,180,1250000,null,329,304,null,70,null,null
Articuno,144,175,90,85,100,95,125,85,580,Ice,Flying,NU,Pressure,null,Snow Cloak,55.4,80,3 SpD,215,Blue,NONE,None,-,null,3,1250000,N,175,144,235,null,null,null
Audino,531,531,103,60,86,60,86,50,445,Normal,null,NU,Healer,Regenerator,Klutz,31,60,2 HP,390,Pink,5120,Neutral,Fairy,null,255,800000,N,531,531,null,null,null,37
Axew,610,610,46,87,60,30,40,57,320,Dragon,null,NU,Rivalry,Mold Breaker,Unnerve,18,40,1 Atk,64,Green,10240,Neutral,Monster,Dragon,75,1250000,null,610,610,null,null,null,116
Azelf,482,482,75,125,70,125,70,115,580,Psychic,null,UU,Levitate,null,null,0.3,20,2 Atk/1 SpA,210,Blue,NONE,None,-,null,3,1250000,N,482,482,null,null,148,null
Azumarill,184,212,100,50,80,50,80,50,410,Water,null,UU,Thick Fat,Huge Power,Sap Sipper,28.5,60,3 HP,153,Blue,null,Neutral,Water 1,Fairy,75,800000,Lv. 18,212,184,131,56,126,null
Azurill,298,210,50,20,40,20,40,20,190,Normal,null,NU,Thick Fat,Huge Power,Sap Sipper,2,20,1 HP,33,Blue,2560,M (75%),-,null,150,800000,null,210,298,null,54,124,null
Bagon,371,400,45,75,60,40,30,50,300,Dragon,null,NU,Rock Head,null,Sheer Force,42.1,60,1 Atk,89,Blue,10240,Neutral,Dragon,null,45,1250000,null,400,371,null,187,null,null
Baltoy,343,370,40,40,55,40,70,55,300,Ground,Psychic,NU,Levitate,null,null,21.5,40,1 SpD,58,Brown,5120,None,Mineral,null,255,1000000,null,370,343,null,131,null,null
Banette,354,381,64,115,65,83,63,65,455,Ghost,null,NU,Insomnia,Frisk,Cursed Body,12.5,40,2 Atk,179,Black,null,Neutral,Amorphous,null,45,800000,Lv. 37,381,354,null,147,null,null
Barboach,339,366,50,48,43,46,41,60,288,Water,Ground,NU,Oblivious,Anticipate,Hydration,1.9,20,1 HP,92,Gray,5120,Neutral,Water 2,null,190,1000000,null,366,339,null,127,80,null
Basculin,550,550,70,92,65,80,55,98,460,Water,null,NU,Reckless,Adaptability,Mold Breaker,18,40,2 Spe,161,Green,10240,Neutral,Water 2,null,25,1000000,N,550,550,null,null,null,56
Bastiodon,411,438,60,52,168,47,138,30,495,Rock,Steel,NU,Sturdy,null,Soundproof,149.5,100,2 Def,199,Gray,null,M (87.5%),Monster,null,45,600000,Lv. 30,438,411,null,null,39,null
Bayleef,153,184,60,62,80,63,80,69,414,Grass,null,NU,Overgrow,null,Leaf Guard,15.8,40,1 Def/1 SpD,141,Green,null,M (87.5%),Monster,Grass,45,1059860,Lv. 16,184,153,2,null,null,null
Beartic,614,614,95,110,80,70,80,50,485,Ice,null,NU,Snow Cloak,null,Swift Swim,260,120,2 Atk,170,White,null,Neutral,Field,null,60,1000000,Lv. 37,614,614,null,null,null,120
Beautifly,267,291,60,70,50,90,50,65,385,Bug,Flying,NU,Swarm,null,Rivalry,28.4,60,3 SpA,161,Yellow,null,Neutral,Bug,null,45,1000000,Lv. 10,291,267,null,16,50,null
Beedrill,15,15,65,80,40,40,80,75,380,Bug,Poison,NU,Swarm,null,Sniper,29.5,60,2 Atk/1 SpD,159,Yellow,null,Neutral,Bug,null,45,1000000,Lv. 10,15,15,29,null,null,null
Beheeyem,606,606,75,75,75,125,95,40,485,Psychic,null,NU,Telepathy,Synchronize,Analytic,34.5,60,2 SpA,170,Brown,null,Neutral,Human-Like,null,90,1000000,Lv. 42,606,606,null,null,null,112
Beldum,374,403,40,55,80,35,60,30,300,Steel,Psychic,NU,Clear Body,null,Light Metal,95.2,80,1 Def,103,Blue,10240,None,Mineral,null,3,1250000,null,403,374,null,190,null,null
Bellossom,182,50,75,80,85,90,100,50,480,Grass,null,NU,Chlorophyll,null,Healer,5.8,20,3 SpD,184,Green,null,Neutral,Grass,null,45,1059860,Sun Stone,50,182,86,91,null,null
Bellsprout,69,75,50,75,35,70,30,40,300,Grass,Poison,NU,Chlorophyll,null,Gluttony,4,20,1 Atk,84,Green,5120,Neutral,Grass,null,255,1059860,null,75,69,64,null,null,null
Bibarel,400,429,79,85,60,60,71,55,410,Normal,Water,NU,Simple,Unaware,Moody,31.5,60,2 Atk,116,Brown,null,Neutral,Water 1,Field,127,1000000,Lv. 15,429,400,null,null,14,null
Bidoof,399,428,59,45,40,35,40,31,250,Normal,null,NU,Simple,Unaware,Moody,20,40,1 HP,58,Brown,3840,Neutral,Water 1,Field,255,1000000,null,428,399,null,null,13,null
Bisharp,625,625,65,125,100,60,70,70,490,Dark,Steel,UU,Defiant,Inner Focus,Pressure,70,80,2 Atk,172,Red,null,Neutral,Human-Like,null,45,1000000,Lv. 52,625,625,null,null,null,131
Blastoise,9,9,79,83,100,85,105,78,530,Water,null,RU,Torrent,null,Rain Dish,85.5,80,3 SpD,210,Blue,null,M (87.5%),Monster,Water 1,45,1059860,Lv. 36,9,9,234,null,null,null
Blaziken,257,281,80,120,70,110,70,80,530,Fire,Fighting,Uber,Blaze,null,Speed Boost,52,80,3 Atk,209,Red,null,M (87.5%),Field,null,45,1059860,Lv. 36,281,257,null,6,null,null
Blissey,242,128,255,10,10,75,135,55,540,Normal,null,OU,Natural Cure,Serene Grace,Healer,46.8,60,3 HP,255,Pink,null,F (100%),Fairy,null,30,800000,Friendship,128,242,218,null,98,null
Blitzle,522,522,45,60,32,50,32,76,295,Electric,null,NU,Lightningrod,Motor Drive,Sap Sipper,29.8,60,1 Spe,59,Black,5120,Neutral,Field,null,190,1000000,null,522,522,null,null,null,28
Boldore,525,525,70,105,105,50,40,20,390,Rock,null,NU,Sturdy,null,Sand Force,102,100,1 Atk/1 Def,137,Blue,null,Neutral,Mineral,null,120,1059860,Lv. 25,525,525,null,null,null,31
Bonsly,438,213,50,80,95,10,45,10,290,Rock,null,NU,Sturdy,Rock Head,Rattled,15,40,1 Def,68,Brown,5120,Neutral,-,null,255,1000000,null,213,438,null,null,92,null
